elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,greedy,42,1.5,0,2.200,2.200,2.200,0.900,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,greedy,42,1.5,1,0.172,0.517,0.517,1.600,3,0.000,0.4500,0,3,3,0,0,0,0,0,1,2
5.0,greedy,42,1.5,2,0.000,0.000,0.000,1.100,2,0.000,0.5000,0,2,2,0,0,0,1,0,0,1
5.0,greedy,42,1.5,3,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,0,1,0
10.0,greedy,42,1.5,0,2.400,7.200,7.200,1.400,3,0.000,0.4500,0,3,3,0,0,0,0,1,2,0
10.0,greedy,42,1.5,1,2.231,5.517,5.517,3.200,6,0.000,0.9000,0,6,6,0,0,0,1,1,2,2
10.0,greedy,42,1.5,2,2.004,3.883,3.883,1.900,4,0.000,0.4000,0,4,4,0,0,0,1,0,0,3
10.0,greedy,42,1.5,3,0.617,1.233,1.233,1.000,2,0.000,0.5000,0,2,2,0,0,0,1,0,1,0
15.0,greedy,42,1.5,0,2.181,7.200,7.200,2.067,4,8.000,0.6667,2,6,6,0,0,0,1,0,2,1
15.0,greedy,42,1.5,1,4.300,7.800,7.800,3.633,6,8.000,0.6944,2,7,7,0,0,0,1,2,2,0
15.0,greedy,42,1.5,2,4.694,8.517,8.517,2.467,5,4.000,0.4808,1,6,5,1,0,0,0,2,0,3
15.0,greedy,42,1.5,3,1.546,4.950,4.950,1.400,3,4.000,0.2500,1,4,4,0,0,0,3,0,0,0
20.0,greedy,42,1.5,0,4.750,8.800,8.800,2.550,4,6.000,0.6667,2,6,6,0,0,0,1,0,2,1
20.0,greedy,42,1.5,1,6.102,12.800,12.800,4.175,7,6.000,0.7206,2,9,9,0,2,0,2,3,2,0
20.0,greedy,42,1.5,2,4.658,13.517,13.517,4.175,11,3.000,0.7035,1,12,9,3,0,0,0,3,3,5
20.0,greedy,42,1.5,3,3.100,9.950,9.950,2.050,6,3.000,0.4500,1,7,6,1,0,0,4,0,0,2
25.0,greedy,42,1.5,0,5.860,10.517,10.517,2.660,4,9.600,0.4500,4,7,7,0,0,0,1,0,0,2
25.0,greedy,42,1.5,1,8.233,17.800,17.800,4.660,7,9.600,0.6429,4,10,10,0,2,0,0,3,2,1
25.0,greedy,42,1.5,2,6.231,16.117,16.117,5.200,12,14.400,0.5000,6,14,11,3,0,0,0,4,4,0
25.0,greedy,42,1.5,3,3.388,10.950,10.950,2.640,6,12.000,0.6944,5,10,9,1,0,0,0,1,2,2
30.0,greedy,42,1.5,0,6.679,15.983,15.983,3.567,12,8.000,0.4186,4,16,11,5,2,0,2,1,0,9
30.0,greedy,42,1.5,1,10.000,22.800,22.800,4.900,7,8.000,0.6447,4,11,11,0,3,0,0,3,3,1
30.0,greedy,42,1.5,2,8.026,21.117,21.117,5.983,12,12.000,0.4808,6,16,13,3,0,0,0,6,4,0
30.0,greedy,42,1.5,3,4.791,10.950,10.950,3.067,6,10.000,0.6429,5,11,10,1,3,0,0,1,2,3
35.0,greedy,42,1.5,0,9.141,19.983,19.983,4.743,13,13.714,0.4939,8,17,12,5,2,0,2,1,0,6
35.0,greedy,42,1.5,1,11.706,27.800,27.800,5.214,8,6.857,0.6154,4,12,12,0,4,0,0,3,4,1
